model,sensitive_attr,miti_method,group,selection_rate,true_positive_rate,false_positive_rate,count,positive_rate
RandomForest,region,Reweighing,Ireland,0.6233,0.7576,0.4286,223.0,0.5919
RandomForest,region,Reweighing,North_Region,0.5203,0.7323,0.3061,394.0,0.5025
RandomForest,region,Reweighing,East_Midlands_Region,0.4433,0.6651,0.2605,476.0,0.4517
RandomForest,region,Reweighing,West_Midlands_Region,0.4185,0.67,0.2449,497.0,0.4085
RandomForest,region,Reweighing,Yorkshire_Region,0.4657,0.6869,0.2711,423.0,0.4681
RandomForest,region,Reweighing,Scotland,0.5272,0.727,0.3304,679.0,0.4963
RandomForest,region,Reweighing,South_West_Region,0.4808,0.7078,0.2619,495.0,0.4909
RandomForest,region,Reweighing,Wales,0.4463,0.6629,0.291,419.0,0.4177
RandomForest,region,ExponentiatedGradient,South_East_Region,0.5301,0.7284,0.318,449.0,0.5167
RandomForest,region,ExponentiatedGradient,Other,0.4816,0.6863,0.3006,652.0,0.4693
RandomForest,region,ExponentiatedGradient,North_Western_Region,0.4802,0.6581,0.3602,581.0,0.4028
RandomForest,region,ExponentiatedGradient,London_Region,0.4638,0.6511,0.312,621.0,0.4477
RandomForest,region,ExponentiatedGradient,South_Region,0.5082,0.6779,0.3134,610.0,0.5344
RandomForest,region,ExponentiatedGradient,Ireland,0.5157,0.6136,0.3736,223.0,0.5919
RandomForest,region,ExponentiatedGradient,North_Region,0.4949,0.6919,0.2959,394.0,0.5025
RandomForest,region,ExponentiatedGradient,East_Midlands_Region,0.4727,0.6977,0.2874,476.0,0.4517
RandomForest,region,ExponentiatedGradient,West_Midlands_Region,0.4588,0.6749,0.3095,497.0,0.4085
RandomForest,region,ExponentiatedGradient,Yorkshire_Region,0.4634,0.6667,0.2844,423.0,0.4681
RandomForest,region,ExponentiatedGradient,Scotland,0.5317,0.727,0.3392,679.0,0.4963
RandomForest,region,ExponentiatedGradient,South_West_Region,0.5071,0.7407,0.2817,495.0,0.4909
RandomForest,region,ExponentiatedGradient,Wales,0.4487,0.6229,0.3238,419.0,0.4177
RandomForest,region,ThresholdOptimizer,South_East_Region,0.2539,0.4009,0.0968,449.0,0.5167
RandomForest,region,ThresholdOptimizer,Other,0.3405,0.5327,0.1705,652.0,0.4693
RandomForest,region,ThresholdOptimizer,North_Western_Region,0.7022,0.8974,0.5706,581.0,0.4028
RandomForest,region,ThresholdOptimizer,London_Region,0.694,0.8777,0.5452,621.0,0.4477
RandomForest,region,ThresholdOptimizer,South_Region,0.5246,0.6994,0.3239,610.0,0.5344
RandomForest,region,ThresholdOptimizer,Ireland,0.3453,0.447,0.1978,223.0,0.5919
RandomForest,region,ThresholdOptimizer,North_Region,0.4695,0.6919,0.2449,394.0,0.5025
RandomForest,region,ThresholdOptimizer,East_Midlands_Region,0.6471,0.8605,0.4713,476.0,0.4517
RandomForest,region,ThresholdOptimizer,West_Midlands_Region,0.6097,0.8571,0.4388,497.0,0.4085
RandomForest,region,ThresholdOptimizer,Yorkshire_Region,0.5461,0.7525,0.3644,423.0,0.4681
RandomForest,region,ThresholdOptimizer,Scotland,0.5538,0.7418,0.3684,679.0,0.4963
RandomForest,region,ThresholdOptimizer,South_West_Region,0.3212,0.5021,0.1468,495.0,0.4909
RandomForest,region,ThresholdOptimizer,Wales,0.4773,0.6286,0.3689,419.0,0.4177
RandomForest,region,Suppression,South_East_Region,0.5345,0.7155,0.341,449.0,0.5167
RandomForest,region,Suppression,Other,0.4693,0.6895,0.2746,652.0,0.4693
RandomForest,region,Suppression,North_Western_Region,0.42,0.641,0.2709,581.0,0.4028
RandomForest,region,Suppression,London_Region,0.4348,0.6403,0.2682,621.0,0.4477
RandomForest,region,Suppression,South_Region,0.5213,0.7055,0.3099,610.0,0.5344
RandomForest,region,Suppression,Ireland,0.5785,0.697,0.4066,223.0,0.5919
RandomForest,region,Suppression,North_Region,0.4391,0.6364,0.2398,394.0,0.5025
RandomForest,region,Suppression,East_Midlands_Region,0.4412,0.6605,0.2605,476.0,0.4517
RandomForest,region,Suppression,West_Midlands_Region,0.4205,0.6207,0.2823,497.0,0.4085
RandomForest,region,Suppression,Yorkshire_Region,0.4539,0.6717,0.2622,423.0,0.4681
RandomForest,region,Suppression,Scotland,0.5331,0.7211,0.348,679.0,0.4963
RandomForest,region,Suppression,South_West_Region,0.4626,0.6667,0.2659,495.0,0.4909
RandomForest,region,Suppression,Wales,0.4606,0.6686,0.3115,419.0,0.4177
XGB,region,Baseline,South_East_Region,0.5857,0.7802,0.3779,449.0,0.5167
XGB,region,Baseline,Other,0.5199,0.768,0.3006,652.0,0.4693
XGB,region,Baseline,North_Western_Region,0.4079,0.6496,0.245,581.0,0.4028
XGB,region,Baseline,London_Region,0.4493,0.6547,0.2828,621.0,0.4477
XGB,region,Baseline,South_Region,0.5885,0.7975,0.3486,610.0,0.5344
XGB,region,Baseline,Ireland,0.6457,0.8106,0.4066,223.0,0.5919
XGB,region,Baseline,North_Region,0.5457,0.7879,0.301,394.0,0.5025
XGB,region,Baseline,East_Midlands_Region,0.4853,0.7023,0.3065,476.0,0.4517
XGB,region,Baseline,West_Midlands_Region,0.4527,0.7094,0.2755,497.0,0.4085
XGB,region,Baseline,Yorkshire_Region,0.5154,0.7525,0.3067,423.0,0.4681
XGB,region,Baseline,Scotland,0.5405,0.73,0.3538,679.0,0.4963
