model,sensitive_attr,miti_method,group,selection_rate,true_positive_rate,false_positive_rate,count,positive_rate
XGB,region,Reweighing,Yorkshire_Region,0.513,0.7374,0.3156,423.0,0.4681
XGB,region,Reweighing,Scotland,0.5346,0.724,0.348,679.0,0.4963
XGB,region,Reweighing,South_West_Region,0.5515,0.7942,0.3175,495.0,0.4909
XGB,region,Reweighing,Wales,0.4797,0.7086,0.3156,419.0,0.4177
XGB,region,Suppression,South_East_Region,0.5434,0.7543,0.318,449.0,0.5167
XGB,region,Suppression,East_Midlands_Region,0.5089,0.737,0.313,1128.0,0.4619
XGB,region,Suppression,North_Western_Region,0.4613,0.7051,0.2968,581.0,0.4028
XGB,region,Suppression,London_Region,0.4541,0.6691,0.2799,621.0,0.4477
XGB,region,Suppression,South_Region,0.5541,0.7546,0.3239,610.0,0.5344
XGB,region,Suppression,Ireland,0.6143,0.7652,0.3956,223.0,0.5919
XGB,region,Suppression,North_Region,0.5076,0.7374,0.2755,394.0,0.5025
XGB,region,Suppression,West_Midlands_Region,0.4527,0.7094,0.2755,497.0,0.4085
XGB,region,Suppression,Yorkshire_Region,0.5177,0.7525,0.3111,423.0,0.4681
XGB,region,Suppression,Scotland,0.5685,0.7596,0.3801,679.0,0.4963
XGB,region,Suppression,South_West_Region,0.5313,0.7819,0.2897,495.0,0.4909
XGB,region,Suppression,Wales,0.5012,0.7257,0.3402,419.0,0.4177
LogisticRegression,age_band,Baseline,35-55,0.4637,0.6685,0.2813,6480.0,0.4711
LogisticRegression,age_band,Baseline,55__,0.7436,0.75,0.7333,39.0,0.6154
LogisticRegression,age_band,Reweighing,35-55,0.4798,0.6623,0.3172,6480.0,0.4711
LogisticRegression,age_band,Reweighing,55__,0.6154,0.7083,0.4667,39.0,0.6154
LogisticRegression,age_band,Suppression,35-55,0.4633,0.6698,0.2793,6480.0,0.4711
LogisticRegression,age_band,Suppression,55__,0.7692,0.7917,0.7333,39.0,0.6154
RandomForest,age_band,Baseline,35-55,0.4735,0.6846,0.2854,6480.0,0.4711
RandomForest,age_band,Baseline,55__,0.7692,0.7917,0.7333,39.0,0.6154
RandomForest,age_band,Reweighing,35-55,0.4753,0.6885,0.2854,6480.0,0.4711
RandomForest,age_band,Reweighing,55__,0.6923,0.75,0.6,39.0,0.6154
RandomForest,age_band,Suppression,35-55,0.4687,0.6803,0.2801,6480.0,0.4711
RandomForest,age_band,Suppression,55__,0.8462,0.875,0.8,39.0,0.6154
XGB,age_band,Baseline,35-55,0.5122,0.7412,0.3081,6480.0,0.4711
XGB,age_band,Baseline,55__,0.7436,0.7917,0.6667,39.0,0.6154
XGB,age_band,Reweighing,35-55,0.5034,0.7262,0.3049,6480.0,0.4711
XGB,age_band,Reweighing,55__,0.6923,0.75,0.6,39.0,0.6154
XGB,age_band,Suppression,35-55,0.5113,0.7416,0.3061,6480.0,0.4711
XGB,age_band,Suppression,55__,0.7436,0.7917,0.6667,39.0,0.6154
